UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2009-0040,2009-10-03,2009-10-03,1,heavy rains,NA,"Alappuzha, Ernakulam, Kollam, Kozhiokode, Malappuram, Pathanamthitta, Thrissur and Thiruvananthapuram.",Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 112 houses completely and 539 houses partially damaged. ii) Landslide reported. iii) About 3,000 acres of paddy fields flooded. iv) Lossof around 1.5 crores of rupees reported. V) Extensive damage to Agriculture reported. ",IMD,NA
UEI-IMD-FL-2009-0041,2009-11-07,2009-11-08,2,heavy rains,NA,"Idukki, Palakkad and Thiruvananthapuram.",Kerala,NA,NA,NA,NA,1,NA,NA,NA,i) One person died. ii) Many cattle heads washed away. ,i) Landslide reported. ii) 21 houses collapsed and. 80 partially damaged. iii) Damage to standing crops reported. ,IMD,NA
UEI-IMD-FL-2009-0042,2009-12-27,2009-12-29,3,heavy rains,NA,Wayanad,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extensive damage to paddy crops, coffee plantations and vegetables reported.",IMD,NA
UEI-IMD-FL-2009-0043,2009-07-23,2009-07-23,1,heavy rains,NA,"Chindwada, Indore, Mandsaur, Narsingpur, Sagar",Madhya Pradesh,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0044,2009-02-13,2009-02-13,1,heavy rains,NA,Satara,Maharastra,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive damage to strawberry fields reported.,IMD,NA
UEI-IMD-FL-2009-0045,2009-05-14,2009-05-14,1,heavy rains,NA,Wardha,Maharastra,NA,NA,NA,NA,1,NA,NA,3,i) One person died. ii) 3 cattle heads perished. ,Roofs of the houses blown away.,IMD,NA
UEI-IMD-FL-2009-0046,2009-05-18,2009-05-20,3,heavy rains,NA,"Aurangabad, Dhule and Satara",Maharastra,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,i) Damage to Banana and Pomegranate orchards reported. ii) 93 houses damaged. ,IMD,NA
UEI-IMD-FL-2009-0047,2009-06-24,2009-06-29,6,heavy rains,NA,"Mumbai, Nagpur and Yavatmal ",Maharastra,NA,NA,NA,NA,3,7,NA,NA,3 persons died and 7 other injured. ,Damage to the crops and property reported.,IMD,NA
UEI-IMD-FL-2009-0048,2009-07-03,2009-07-08,6,heavy rains,NA,"Amravati, Mumbai and Nashik",Maharastra,NA,NA,NA,NA,12,NA,NA,NA,12 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0049,2009-07-14,2009-07-15,2,heavy rains,NA,"Mumbai, Gadchiroli and Nagpur",Maharastra,NA,NA,NA,NA,10,8,NA,NA,10 persons died and 8 other injured.,14 & 15 July,IMD,NA
UEI-IMD-FL-2009-0050,2009-08-30,2009-08-30,1,heavy rains,NA,Amravati,Maharastra,NA,NA,NA,NA,2,NA,NA,NA,2 women died.,NA,IMD,NA
UEI-IMD-FL-2009-0051,2009-09-05,2009-09-05,1,heavy rains,NA,Mumbai,Maharastra,NA,NA,NA,NA,11,NA,NA,NA,11 persons died.,Landslide reported.,IMD,NA
UEI-IMD-FL-2009-0052,2009-09-20,2009-09-20,1,heavy rains,NA,Satara,Maharastra,NA,NA,NA,NA,1,NA,NA,NA,One person died.,"Heavy damage to Jowar, Soyabean and Sugarcane crops reported. ",IMD,NA
UEI-IMD-FL-2009-0053,2009-10-01,2009-10-06,6,heavy rains,NA,"Ahmadnagar, Kolhapur, Raigad, Ratnagiri, Sangli, Sindhudurg and Solapur",Maharastra,NA,NA,NA,NA,34,NA,NA,67,i) 34 persons died ii) 67 cattle heads perished. ,"i) 583 houses completely and 4749 partially damaged. Crops in 1,28,772 hectares of land damaged causing a loss of about 1.5 crores. ",IMD,NA
UEI-IMD-FL-2009-0054,2009-10-30,2009-10-30,1,heavy rains,NA,Beed and Satara,Maharastra,NA,NA,NA,NA,2,NA,NA,NA,2 girls died.,Extensive damage to Soya crop over 500 acres of land reported.,IMD,NA
UEI-IMD-FL-2009-0055,2009-11-11,2009-11-11,1,heavy rains,NA,Ratnagiri and Sindhudurg,Maharastra,NA,NA,NA,NA,10,62,NA,NA,10 persons died and 62 missing.,Extensive damage to crops reported.,IMD,NA
UEI-IMD-FL-2009-0056,2009-11-12,2009-11-12,1,heavy rains,NA,Satara,Maharastra,NA,NA,NA,NA,1,50,NA,NA,One person died and 50 others injured.,"i) 15 houses damaged. ii) Damage to jowar, groundnut, strawberry and grapes reported. ",IMD,NA
UEI-IMD-FL-2009-0057,2009-11-18,2009-11-18,1,flood (yerala),NA,Sangli,Maharastra,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sugarcane worth Rs. 25 lakhs washed away.,IMD,NA
UEI-IMD-FL-2009-0058,2009-10-10,2009-10-10,1,heavy rains,NA,Shillong,Meghalaya,NA,NA,NA,NA,4,15,NA,NA,4 persons died and 15 others missing.,NA,IMD,NA
UEI-IMD-FL-2009-0059,2009-10-07,2009-10-07,1,heavy rains,NA,Aizawl,Mizoram,NA,NA,NA,NA,3,10,NA,NA,3 persons died and 10 others injured.,Landslide reported.,IMD,NA
UEI-IMD-FL-2009-0060,2009-07-14,2009-07-30,17,flood (mahanadi),NA,"Parts of Bhadrak, Cuttack Ganjam, Kalahandi, Kandhamal, Kendrapara, Keonjhar, Koraput, Khurda, Jaipur, Nayagarh, Puri, and Sundargarh",Odisha,NA,NA,NA,NA,56,NA,NA,NA,56 persons died.,870 houses fully and 11677 houses partially damaged.,IMD,NA
UEI-IMD-FL-2009-0061,2009-09-07,2009-09-11,5,heavy rains,NA,Balasore,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) About 1.16 lakhs of people affected. ii) Extensive damage to 0.05 lakhs of hectare, agricultural land affected. ",IMD,NA
UEI-IMD-FL-2009-0062,2009-03-27,2009-03-27,1,heavy rains,NA,Fatehgarh Sahib and Patiala,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,A large portion of wheat crop damaged.,IMD,NA
UEI-IMD-FL-2009-0063,2009-07-16,2009-07-16,1,heavy rains,NA,Mansa,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paddy crops in thousand of acres of land damaged.,IMD,NA
UEI-IMD-FL-2009-0064,2009-07-22,2009-07-22,1,heavy rains,NA,Gurdaspur,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chakkipul bridge joining Punjab and Himachal Pradesh washed away.,IMD,NA
UEI-IMD-FL-2009-0065,2009-07-28,2009-07-28,1,heavy rains,NA,Hoshiarpur,Punjab,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,i) Hundred acres of land submerged. ii) Extreme damage to public and private property reported. ,IMD,NA
UEI-IMD-FL-2009-0066,2009-08-05,2009-08-05,1,heavy rains,NA,Gurdaspur ,Punjab,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
UEI-IMD-FL-2009-0067,2009-10-04,2009-10-04,1,heavy rains,NA,Faridkot,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bridge adjoining Mirapur dam washed away.,IMD,NA
UEI-IMD-FL-2009-0068,2009-09-09,2009-09-11,3,heavy rains,NA,"Alwar, Bharatpur and Kota",Rajasthan,NA,NA,NA,NA,7,NA,NA,NA,6 persons and a child died.,24 kutcha houses swept away.,IMD,NA
UEI-IMD-FL-2009-0069,2009-09-16,2009-09-16,1,heavy rains,NA,Vellore,Tamil Nadu,NA,NA,NA,NA,5,NA,NA,NA,5 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0070,2009-09-25,2009-09-25,1,heavy rains,NA,Thiruvannamalai,Tamil Nadu,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0071,2009-11-06,2009-11-11,6,heavy rains,NA,"The Nilgiris and Kanniyakumari Thiruvallur, Thiruvarur and Tirunelveli",Tamil Nadu,NA,NA,NA,NA,49,NA,NA,NA,49 persons died.,"i) Paddy cultivation in 30,000-40,000 acres submerged. ii) 700 houses completely damaged. iii) Land slide reported in The Nilgiris. ",IMD,NA
UEI-IMD-FL-2009-0072,2009-11-16,2009-11-16,1,heavy rains,NA,"Dharamapuri, Kanniyakumari, The Nilgiris and Thiruvallur",Tamil Nadu,NA,NA,NA,NA,5,NA,NA,NA,5 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0073,2009-06-30,2009-06-30,1,heavy rains,NA,"Deoria, Gonda, Jaunpur and Pratapgarh","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,8,NA,NA,NA,8 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0074,2009-07-28,2009-07-28,1,heavy rains,NA,Pauri Garhwal,"Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,6,NA,NA,NA,6 persons died.,Landslide reported.,IMD,NA
UEI-IMD-FL-2009-0075,2009-08-31,2009-08-31,1,flash flood (baghmati),NA,Bahraich and Gonda,"Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0076,2009-08-08,2009-08-08,1,severe flood (cloud burst),NA,Pithoragarh,"Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,43,NA,NA,100,i) About 43 persons died. i) ii) About 100 cattle heads perished. ,i)About 12 houses trapped under debris. ii) Landslide reported.,IMD,NA
UEI-IMD-FL-2009-0077,2009-08-19,2009-08-24,6,flood (ghaghra),NA,"Bahraich, Ballia, Gonda and Lakhimpur Kheri","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,25,NA,NA,NA,25 persons died.,i)Mailani-Gonda railway line affected. ii)Many villages inundated. ,IMD,NA
UEI-IMD-FL-2009-0078,2009-08-26,2009-08-26,1,heavy rains,NA,"Bahraich, Balarampur, Faizabad, Gonda, Lakhimpur Kheri, Pilibhit and Sitapur","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,8,NA,NA,NA,8 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0079,2009-08-28,2009-08-28,1,flood (ganga),NA,Gonda,"Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0080,2009-09-11,2009-09-12,2,heavy rains,NA,"Bahraich, Barabanki, Hardoi and Unnao","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,16,NA,NA,NA,16 persons died,NA,IMD,NA
UEI-IMD-FL-2009-0081,2009-10-06,2009-10-07,2,heavy rains,NA,"Barabanki, Chitrakoot, Fatehpur, Gonda, Hathras, Kanpur, Lakhimpur Kheri, Sitapur and Unnao ","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,24,NA,NA,NA,24 persons died and several injured.,NA,IMD,NA
UEI-IMD-FL-2009-0082,2009-10-09,2009-10-09,1,heavy rains,NA,"Bahraich, Balarampur and Gonda","Uttar Pradesh, Uttarakhand",NA,NA,NA,NA,8,NA,NA,NA,8 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0083,2009-05-26,2009-05-26,1,heavy rains,NA,Darjeeling,West Bengal,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,Land slides reported.,IMD,NA
UEI-IMD-FL-2009-0084,2009-08-20,2009-08-20,1,heavy rains,NA,"Darjeeling, Jalpaiguri, Coochbehar, Malda, S. Dinajpur",West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,5 persons died,"i)Hundreds of houses damaged. ii)More than 10,000 people affected. ",IMD,NA
UEI-IMD-FL-2009-0085,2009-09-05,2009-09-10,6,heavy rains,NA,"Bankura, Bardhman, Birbhum, East & West Midnapore, Howrah and 24 Parganas",West Bengal,NA,NA,NA,NA,7,NA,NA,NA,7 persons died.,"i)17 lakh people of about 11 villages marooned. ii)About 4,000 people shifted to safer places. iii) 14,000 houses fully/partially damaged. iv) 37,500 people were shifted to safer places. Large area of standing crops damaged. ",IMD,NA
UEI-IMD-FL-2009-0086,2009-07-29,2009-07-29,1,heavy rains,NA,New Delhi,Delhi,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
UEI-IMD-FL-2010-0001,2010-10-04,2010-10-04,1,heavy rains,NA,East Godavari and coastal districts of Andhra Pradesh,Andhra Pradesh,NA,NA,NA,NA,14,NA,NA,NA,14 persons died,i) Extensive damage to paddy and other standing crops in about 2.83 lakh hectares of land reported. ii) Damage to public property reported. iii) Low lying areas submerged. ,IMD,NA
UEI-IMD-FL-2010-0002,2010-04-02,2010-04-02,1,heavy rains,NA,Kurung Kumey,Arunachal Pradesh,NA,NA,NA,NA,7,NA,NA,NA,7 persons buried alive in landslide.,i) Landslide reported. ii) Damage to public property reported.,IMD,NA
UEI-IMD-FL-2010-0003,2010-04-22,2010-04-22,1,heavy rains,NA,"Lohit & Anjaw, Dibang & Lower Dibang valley, East Kameng and Upper Siyang",Arunachal Pradesh,NA,NA,NA,NA,12,NA,NA,NA,12 persons died.,i) Landslide reported. ii) Road/electricity / telephone services disrupted. ,IMD,NA
UEI-IMD-FL-2010-0004,2010-09-09,2010-09-10,2,heavy rains,NA,East and West Siang,Arunachal Pradesh,NA,NA,NA,NA,8,NA,NA,NA,8 persons died.,i) Landslide reported. ii) Pasighat-Pangin and Pasighat-Mebo roads washed away. iii) Damage to Siku bridge reported. iv) Thousands of people rendered homeless. ,IMD,NA
UEI-IMD-FL-2010-0005,2010-03-27,2010-03-27,1,"flash flood (singra, jiadha)",NA,Dhemaji and Lakhimpur,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Extensive damage to Boro and Ahu crops in 100 bighas reported. ii) A portion of NH 52 washed away. ,IMD,NA
UEI-IMD-FL-2010-0006,2010-04-20,2010-04-23,4,heavy rains,NA,"Dhemaji, Lakhimpur Jorhat, Nalbari, Sibsagar and Tinsukia",Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,Several villages inundated. iii) About one lakh people of 250 villages affected. ,IMD,NA
